symbol,tokens,yfinsymbol
RAIN,15337,RAIN.NS
AEROFLEX,18268,AEROFLEX.NS
DREDGECORP,11271,DREDGECORP.NS
BALUFORGE,23607,BALUFORGE.NS
TEJASNET,21131,TEJASNET.NS
PRECAM,12603,PRECAM.NS
MOSCHIP,29459,MOSCHIP.NS
SHADOWFAX,761469,SHADOWFAX.NS
MODEFENCE,24944,MODEFENCE.NS
POCL,14385,POCL.NS
STLTECH,9309,STLTECH.NS
BLISSGVS,19265,BLISSGVS.NS
RAMCOSYS,7851,RAMCOSYS.NS
INFOBEAN,11027,INFOBEAN.NS
RATNAVEER,18423,RATNAVEER.NS
TFCILTD,3466,TFCILTD.NS
MAHLOG,385,MAHLOG.NS
GROWWSLVR,756827,GROWWSLVR.NS
DBREALTY,18124,DBREALTY.NS
ANTELOPUS,13598,ANTELOPUS.NS
HERITGFOOD,4598,HERITGFOOD.NS
SJS,6643,SJS.NS
KITEX,28899,KITEX.NS
PARAS,5911,PARAS.NS
SKIPPER,9428,SKIPPER.NS
RMDRIP,757834,RMDRIP.NS
KMEW,27084,KMEW.NS
BAJAJCON,19531,BAJAJCON.NS
JARO,759951,JARO.NS
BALAMINES,14501,BALAMINES.NS
SUBROS,3324,SUBROS.NS
QUADFUTURE,29087,QUADFUTURE.NS
RNBDENIMS,758981,RNBDENIMS.NS
HCC,1375,HCC.NS
RALLIS,2816,RALLIS.NS
PTC,11355,PTC.NS
GOKEX,11778,GOKEX.NS
VINCOFE,25835,VINCOFE.NS
JINDRILL,13875,JINDRILL.NS
HDFCSML250,14233,HDFCSML250.NS
GRMOVER,10871,GRMOVER.NS
CRAMC,759311,CRAMC.NS
VIMTALABS,13101,VIMTALABS.NS
KIRIINDUS,16639,KIRIINDUS.NS
WEBELSOLAR,14602,WEBELSOLAR.NS
AVANTEL,24610,AVANTEL.NS
APEX,21623,APEX.NS
JTLIND,7287,JTLIND.NS
KAMDHENU,13457,KAMDHENU.NS
WHEELS,3766,WHEELS.NS
QPOWER,29711,QPOWER.NS
PRECWIRE,2717,PRECWIRE.NS
SWSOLAR,12489,SWSOLAR.NS
