Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
RAIN,EQ,167.59,15.86,5636.82,265.95,431.16
AEROFLEX,EQ,187.1,12.19,2419.58,196.14,365.36
DREDGECORP,EQ,1134.8,13.4,3177.44,23.95,268.33
BALUFORGE,EQ,391.9,9.99,4467.34,68.97,254.4
TEJASNET,EQ,327.8,-3.32,5819.85,65.28,218.32
PRECAM,EQ,155.9,13.65,1480.83,107.15,168.18
MOSCHIP,EQ,205.05,9.46,3956.77,67.45,134.69
SHADOWFAX,EQ,100.07,-9.01,5785.38,106.35,110.81
MODEFENCE,EQ,88.12,-1.71,1186.98,122.35,109.05
POCL,EQ,1262.6,-0.32,3852.35,8.37,102.75
STLTECH,EQ,96.46,-6.78,4708.25,100.7,101.62
BLISSGVS,EQ,182.49,8.8,1930.54,51.79,93.13
RAMCOSYS,EQ,448.45,5.49,1677.74,18.59,86.88
INFOBEAN,EQ,830,-6.47,2029.8,9.48,81.85
RATNAVEER,EQ,155.77,11.21,1025.63,51.19,79.29
TFCILTD,EQ,65.66,2.75,3039.91,106.26,68.97
MAHLOG,EQ,344.75,1.53,3420.7,18.99,65.78
GROWWSLVR,EQ,354.87,5.47,555,18.15,64.59
DBREALTY,EQ,105.24,3.25,5674.59,58.72,63.08
ANTELOPUS,EQ,573.65,-0.59,2017.09,10.45,60.09
HERITGFOOD,EQ,363.4,-8.38,3372.21,15.41,55.93
SJS,EQ,1608.8,-3.24,5144.34,3.38,54.71
KITEX,EQ,177.27,-5.82,3536.54,30.31,54.15
PARAS,EQ,698,1.81,5625,7.7,53.21
SKIPPER,EQ,372.9,2.81,4210.19,12.4,45.12
RMDRIP,EQ,104.3,0.98,2605.41,41.08,42.77
KMEW,EQ,1844.7,8.05,4509.2,2.18,39.54
BAJAJCON,EQ,323.7,0.42,4228.12,12.1,39.04
JARO,EQ,505.5,1.78,1120,7.09,36.38
BALAMINES,EQ,1183,-3.02,3833.04,2.97,35.67
SUBROS,EQ,821,6.09,5355.86,4.15,33.92
QUADFUTURE,EQ,312.55,3.12,1250.2,10.64,33.21
RNBDENIMS,EQ,154.45,1.58,1389.64,21.37,32.85
HCC,EQ,19.71,-2.47,5162.97,155.47,31
RALLIS,EQ,273.75,-0.54,5323.59,11.34,30.82
PTC,EQ,174.75,0.06,5172.75,16.79,29.51
GOKEX,EQ,540.65,-3.47,3959.71,5.38,29.49
VINCOFE,EQ,149.5,1.87,2159.35,18.22,26.9
JINDRILL,EQ,477.4,-9.35,1383.56,5.53,26.73
HDFCSML250,EQ,157.16,-0.34,1593.71,16.67,26.2
GRMOVER,EQ,161.11,-0.43,2965.33,16.28,25.97
CRAMC,EQ,252.9,1.16,5043.27,9.7,24.71
VIMTALABS,EQ,423.45,-7.23,1890.08,5.62,24.61
KIRIINDUS,EQ,471.75,-0.57,2831.56,5.09,24.06
WEBELSOLAR,EQ,84.66,3.32,3573.19,28.24,23.63
AVANTEL,EQ,146,1.75,3875.82,16.28,23.45
APEX,EQ,304.5,0,951.56,7.6,23.15
JTLIND,EQ,73.11,-1.24,2793.11,31.34,23.11
KAMDHENU,EQ,22.93,4.09,646.36,99.57,23.06
WHEELS,EQ,763.95,3.67,1866.56,2.85,22.09
QPOWER,EQ,612.2,2.65,4741.13,3.68,22.08
PRECWIRE,EQ,250.7,1.13,4583,8.61,21.65
SWSOLAR,EQ,182.2,-3.66,4254.95,11.54,21.24
AGIIL,EQ,265.35,4.18,3241.71,8.11,21.11
STALLION,EQ,192.9,-2.97,1530.18,9.96,20.04
SMLMAH,EQ,3616.7,-1.37,5233.96,0.54,19.75
RBA,EQ,63.88,-0.36,3722.59,30.74,19.65
EPACKPEB,EQ,199.65,5,2005.52,10.01,19.33
AVALON,EQ,805,1.4,5374.1,2.39,19.08
LIQUIDADD,EQ,1111.23,0.01,1838.2,1.7,18.91
SIGACHI,EQ,20.12,-2.04,768.82,91.86,18.46
SEAMECLTD,EQ,1250,3.5,3178.13,1.46,18.24
ARSSBL,EQ,588,-1.67,3688.24,2.93,17.35
DYNAMATECH,EQ,8128,-0.5,5520.08,0.2,16.86
WANBURY,EQ,220.24,17.19,768.46,7.77,16.27
JSFB,EQ,363.25,-0.51,3824.07,4.43,16.04
DATAMATICS,EQ,672.6,-2.71,3975.5,2.4,15.85
FIEMIND,EQ,2074.5,-4.7,5460.01,0.75,15.73
SAMHI,EQ,170,-3.89,3760.5,9.03,15.7
VAIBHAVGBL,EQ,219.79,-6.21,3671.22,7.04,15.7
SINDHUTRAD,EQ,21.6,6.93,3330.57,72.9,15.64
KRISHNADEF,EQ,971.95,1.63,1450.05,1.55,15.05
ADVENZYMES,EQ,297,5.98,3324.23,5.12,15.02
FEDFINA,EQ,153.76,-1.84,5752,9.64,15
PATELENG,EQ,28.39,-1.93,2816.69,52.31,14.9
AWHCL,EQ,549.35,-2.22,1559.17,2.69,14.9
PROTEAN,EQ,622,2.18,2526.36,2.41,14.88
ASIANTILES,EQ,72.5,1.47,1681.36,20.71,14.79
SENCO,EQ,310,-1.65,5075.27,4.72,14.76
WALCHANNAG,EQ,173.23,-2.12,1175.23,8.47,14.69
SAMBHV,EQ,90.62,2.65,2670.31,15.49,14.17
EPACK,EQ,219.1,-2.6,2108.37,6.38,14.1
SHILCTECH,EQ,3371,-1.85,3856.49,0.42,13.83
MEIL,EQ,267.45,-6.76,738.97,5.27,13.81
SBC,EQ,28.94,0.87,1378.09,47.16,13.6
REFEX,EQ,223.8,-3.2,3068.96,6.03,13.49
TEXRAIL,EQ,127.32,-1.11,5180.2,10.49,13.47
OSWALPUMPS,EQ,382.55,-0.44,4360.21,3.56,13.46
MAFANG,EQ,170.06,2.27,4205.64,7.85,13.34
RICOAUTO,EQ,117.1,-2.44,1584.19,11.19,13.09
QUESS,EQ,205.5,1.61,3066.12,6.36,13.08
SOMANYCERA,EQ,408.85,5.61,1676.81,3.13,12.82
INTERARCH,EQ,1900.1,-4.05,3186.82,0.66,12.62
PARAGMILK,EQ,250.55,-3.6,3134.62,4.98,12.57
SHREEJISPG,EQ,310.8,0.03,5063.5,4.01,12.56
LIQUID1,EQ,1089.11,0.02,1652.31,1.15,12.51
LIQUIDPLUS,EQ,1070.52,0.01,522.5,1.16,12.41
SMCGLOBAL,EQ,78.47,3.65,1643.16,15.61,12.33
SFL,EQ,505,-3.97,5489.89,2.43,12.29
PRAJIND,EQ,280.7,-2.28,5159.63,4.26,12.03
ZAGGLE,EQ,284.5,-2.62,3825.16,4.16,11.81
KERNEX,EQ,1219.4,-2.52,2043.64,0.95,11.68
ORIENTTECH,EQ,326.35,-2.14,1494.88,3.55,11.63
YATHARTH,EQ,557.5,0.76,5371.76,2.09,11.58
STEL,EQ,482.8,15.38,891.03,2.38,11.51
STYRENIX,EQ,1931.1,1.85,3395.96,0.61,11.45
ENTERO,EQ,1102,-1.87,4794.91,1.03,11.41
GKSL,EQ,106.76,3.13,841.73,10.73,11.39
CAPILLARY,EQ,642.05,4.17,5092.21,1.8,11.32
VIKRAN,EQ,88.77,-2.69,2289.48,12.62,11.26
AGI,EQ,641.75,-4.97,4151.95,1.73,11.22
RAYMOND,EQ,373.8,-3.46,2488.53,2.96,11.14
KNRCON,EQ,143.4,-1.14,4032.9,7.59,10.92
AXISCADES,EQ,1226.1,4.54,5213.06,0.91,10.79
PREMEXPLN,EQ,510,1.87,2741.82,2.11,10.77
LLOYDSENGG,EQ,44.56,-1.81,5192.62,24.17,10.72
INDOTHAI,EQ,242.1,-1.47,3024.39,4.39,10.59
EIEL,EQ,176.61,-0.61,3100.04,5.9,10.44
PAISALO,EQ,32.46,-1.99,2952.31,31.83,10.38
CMSINFO,EQ,315.95,-3.45,5196.51,3.15,10.03
MOBIKWIK,EQ,196.4,-2.53,1544.85,5.04,9.99
EKC,EQ,110,-3.24,1234.28,8.81,9.89
HGINFRA,EQ,628.8,0.46,4097.96,1.58,9.86
PICCADIL,EQ,572.05,-3.04,5598.13,1.67,9.56
GENESYS,EQ,297.15,-0.47,1241.8,3.21,9.55
CRIZAC,EQ,252.35,0.58,4415.68,3.74,9.53
INDIAGLYCO,EQ,859.5,1.33,5760.95,1.11,9.52
MASFIN,EQ,325.7,2.68,5909.94,2.88,9.38
KRN,EQ,611.3,-1.13,3799.63,1.51,9.21
ORIENTCEM,EQ,165.04,0.22,3390.91,5.54,9.09
SUNTECK,EQ,388.4,3.79,5689.64,2.36,9.05
MATRIMONY,EQ,563.25,0.66,1214.56,1.61,9.01
SENORES,EQ,782,-1.15,3601.39,1.15,8.98
SKMEGGPROD,EQ,206.45,1.75,1087.17,4.33,8.93
HINDOILEXP,EQ,153.6,0.45,2031.26,5.75,8.88
RTNPOWER,EQ,8.26,-2.48,4435.71,106.71,8.85
GARUDA,EQ,157.12,-2.29,1461.87,5.44,8.54
OPTIEMUS,EQ,400.2,0.1,3536.83,2.12,8.47
GREAVESCOT,EQ,165.9,-1.86,3862.89,5.08,8.47
SATIN,EQ,156.16,-1.51,1725.11,5.27,8.44
SUPRIYA,EQ,676.1,2.08,5441.44,1.25,8.41
E2E,EQ,2040.8,-1.71,4107.52,0.4,8.36
GHCL,EQ,533.2,-0.49,4901.93,1.6,8.36
RAJRATAN,EQ,415.7,-4.97,2110.55,1.95,8.24
AURIONPRO,EQ,910.8,-3.61,5028.85,0.89,8.21
SIYSIL,EQ,504.9,-3.25,2290.74,1.6,8.11
TATVA,EQ,1127.5,-3.46,2637.45,0.72,8.09
GMMPFAUDLR,EQ,962.8,-2.79,4328.48,0.83,8.03
DCXINDIA,EQ,172.14,-2.87,1917.41,4.55,7.94
STYLEBAAZA,EQ,328.8,-2.85,2453.42,2.33,7.76
ELECTCAST,EQ,69.62,-2.21,4303.8,10.76,7.55
BGRENERGY,EQ,351.5,4.23,2536.48,2.15,7.53
PENIND,EQ,168.83,-0.85,2278.3,4.43,7.51
ARKADE,EQ,108.58,-4.66,2015.94,6.69,7.51
MICEL,EQ,42.86,9.98,1032.98,17.7,7.49
ADVAIT,EQ,1527,8.82,1670.05,0.5,7.48
MUFIN,EQ,111.51,-1.67,1931.7,6.58,7.38
VMART,EQ,605.7,-0.3,4811.62,1.22,7.37
JAMNAAUTO,EQ,117.08,-3.02,4671.45,6.24,7.36
BOMDYEING,EQ,113.97,-0.86,2353.88,6.43,7.34
INFIBEAM,EQ,15.49,-1.09,5385.94,46.96,7.28
ARISINFRA,EQ,104.01,0.41,847.15,6.99,7.27
YATRA,EQ,148.45,-1.38,2329.42,4.86,7.17
SULA,EQ,183.15,-2.79,1546.65,3.87,7.17
IDEAFORGE,EQ,429.2,-0.57,1857.07,1.61,6.92
DYCL,EQ,300,-3.72,1453.76,2.27,6.9
ARFIN,EQ,75.43,0.82,1272.67,9.06,6.84
RPTECH,EQ,353.55,-0.76,2329.88,1.91,6.8
SOLARWORLD,EQ,235.35,0.49,2039.84,2.85,6.74
UTKARSHBNK,EQ,14.02,-2.23,2494.89,48.13,6.74
KALAMANDIR,EQ,109.4,-2.95,1677.83,6.06,6.7
PITTIENG,EQ,769.1,-0.45,2895.94,0.84,6.61
INDRAMEDCO,EQ,356.85,-2.5,3271.35,1.83,6.57
HUBTOWN,EQ,205.99,-2.39,2927.13,3.16,6.56
AWFIS,EQ,397.2,-1.6,2840.34,1.65,6.56
BRIGHOTEL,EQ,59.8,-1.11,2271.46,10.66,6.55
LIQUID,EQ,999.99,0,529.89,0.65,6.5
ICIL,EQ,225.5,-2.89,4466.13,2.87,6.48
ORISSAMINE,EQ,4481,-3.23,2688.6,0.14,6.47
CARERATING,EQ,1563.5,0.44,4697.05,0.42,6.47
MIDWESTLTD,EQ,1337.6,-1.65,4836.87,0.48,6.46
JYOTISTRUC,EQ,9.78,-1.01,1167.21,65.62,6.36
ALLCARGO,EQ,10.27,2.91,1538.22,62.8,6.35
ASHOKA,EQ,144.5,-1.73,4056.45,4.36,6.32
NAHARSPING,EQ,170.48,10.79,614.84,3.67,6.3
JUSTDIAL,EQ,651.7,-2.27,5542.36,0.96,6.29
MANINFRA,EQ,106.84,-0.11,4312.77,5.9,6.27
SMALLCAP,EQ,41.82,0.43,766.05,14.99,6.26
GMBREW,EQ,965,-1.85,2204.73,0.64,6.21
RPGLIFE,EQ,1996.1,1.72,3301.35,0.31,6.21
NORTHARC,EQ,265.65,-1.1,4292.16,2.31,6.11
PRAKASH,EQ,124.98,2.45,2238.16,4.94,6.1
MALLCOM,EQ,1130.7,-0.23,705.56,0.54,6.01
EMUDHRA,EQ,505.9,-3.45,4189.44,1.19,6.01
KROSS,EQ,193.28,0.24,1246.84,3.06,5.95
IFBIND,EQ,1079.2,-1.68,4372.79,0.55,5.9
NETWORK18,EQ,36.64,-1.87,5649.89,16.01,5.88
RAMASTEEL,EQ,7.68,-4.12,1256.06,75.38,5.87
BCG,EQ,8.97,-3.55,1810.08,64.22,5.79
ZUARI,EQ,276.1,-2.21,1161.22,2.1,5.76
RTNINDIA,EQ,34.62,-3.03,4785.42,16.69,5.75
GKENERGY,EQ,112.81,-1.85,2287.98,5.1,5.74
MSTCLTD,EQ,467.95,-1.05,3294.37,1.22,5.74
EXCELSOFT,EQ,70.04,-2.38,806.05,8.11,5.72
NELCO,EQ,665.9,2.37,1519.48,0.86,5.69
CIGNITITEC,EQ,1635.2,-1,4504.48,0.35,5.69
BHARATRAS,EQ,1727.9,3.72,2871.96,0.33,5.58
ARIHANTCAP,EQ,81.61,1.82,853.75,6.91,5.57
SAPPHIRE,EQ,183.6,-3.29,5900.59,3.03,5.55
DPABHUSHAN,EQ,1190.9,-8.13,2718.58,0.45,5.52
